наименование,,,Кол-во,паспорт
(1590-9990 ) (ОПРАВЫ + CLIP) (М),,,3,3
(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),,,2,2
(детские) (металл),,,2,2
(детские) (пластик) (36-41),,,2,3
(детские) (пластик) (42-45),,,11,10
(детские) (пластик) (46-49),,,12,8
(детские/подростковые) (OU/SCOUT),,,10,8
(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,,,6,6
(детские/подростковые) (VERSO),,,6,6
(подростковые) (металл для девочек),,,7,8
(подростковые) (металл для мальчиков/универс),,,12,15
(подростковые) (пластик для девочек),,,13,8
(подростковые) (пластик для мальчиков/универс),,,23,14
1(0-1490) (МЕТАЛЛ) (Ж),,,12,12
1(0-1490) (МЕТАЛЛ) (М),,,12,12
1(0-1490) (ПЛАСТИК) (Ж),,,10,10
1(0-1490) (ПЛАСТИК) (М),,,8,8
2(1590-3990) (DACKOR) (ж),,,7,7
2(1590-3990) (DACKOR) (металл) (м),,,17,17
2(1590-3990) (DACKOR) (пластик) (м),,,7,7
2(1590-3990) (GENEX) (ж),,,10,10
2(1590-3990) (GENEX) (м),,,10,10
2(1590-3990) (ISABELLE) (пластик) (ж),,,7,7
2(1590-3990) (NIKITANA) (ж),,,17,17
2(1590-3990) (OU-Fielmann) (м)48,,,,3
2(1590-3990) (SENSE EYEWEAR) (ме) (ж),,,29,30
2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,,,4,4
2(1590-3990) (SENSE EYEWEAR) (ме) (м),,,34,34
2(1590-3990) (SENSE EYEWEAR) (пл) (ж),,,17,17
2(1590-3990) (SENSE EYEWEAR) (пл) (м),,,18,17
3(4000-5990) (GLORY) (металл) (ж),,,17,17
3(4000-5990) (GLORY) (металл) (м),,,17,17
3(4000-5990) (GLORY) (пластик) (ж),,,10,10
3(4000-5990) (GLORY) (пластик) (м),,,11,14
3(4000-5990) (HUMARS) (м),,,7,7
3(4000-5990) (MEGAPOLIS) (ж),,,17,17
3(4000-5990) (OPTILOOK) (металл) (ж),,,1,
3(4000-5990) (OPTILOOK) (пластик) (ж),,,10,10
3(4000-5990) (OU) (ж),,,16,17
3(4000-5990) (OU) (м),,,2,
3(4000-5990) (RICO MIRADO) (ж),,,17,17
3(4000-5990) (SENSE EYEWEAR) (ж) хит6,,,1,
3(4000-5990) (SENSE EYEWEAR) (ж)(ме),,,23,24
3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,,,17,17
3(4000-5990) (SENSE EYEWEAR) (м),,,47,47
3(4000-5990) (SENSE EYEWEAR) (м) хит4,,,4,4
3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),,,1,
4(6000-9990) (ELFSPIRIT) (ж),,,5,7
4(6000-9990) (ELFSPIRIT) (м),,,7,7
4(6000-9990) (ENNI MARCO) (м),,,1,
4(6000-9990) (MEGAPOLIS) (м),,,3,4
4(6000-9990) (OU) (ж),,,5,5
4(6000-9990) (SEEBLING титановые) (ж) ,,,10,10
4(6000-9990) (SEEBLING титановые) (м) ,,,10,10
4(6000-9990) (WILLIAM MORRIS) (ж),,,12,12
5(10000-24990) (STEPPER) (ж),,,17,17
5(10000-24990) (STEPPER) (м),,,17,17
"Комсомольский, 33 ОиМ",,,993,998
(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),,,3,3
(1590-9990 ) (ОПРАВЫ + CLIP) (М),,,4,5
(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),,,2,2
(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),,,2,2
(детские) (пластик) (36-41),,,3,3
(детские) (пластик) (42-45),,,20,10
(детские) (пластик) (46-49),,,13,5
(детские)(FISHER PRICE) девочки 38-41,,,,2
(детские)(FISHER PRICE) девочки 42-46,,,6,6
(детские)(FISHER PRICE) девочки 47-54,,,2,2
(детские)(FISHER PRICE) мальчики 38-41,,,2,2
(детские)(FISHER PRICE) мальчики 42-46,,,7,5
(детские)(FISHER PRICE) мальчики 47-54,,,4,5
(детские)(NANOKIDS/LIFE),,,5,5
(детские/подростковые) (BARBIE),,,6,10
(детские/подростковые) (GUESS),,,5,
(детские/подростковые) (HOT WHEELS),,,4,4
(детские/подростковые) (KIDSIGHT),,,5,10
(детские/подростковые) (OU/SCOUT),,,14,14
(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,,,6,7
(детские/подростковые) (VERSO),,,10,10
(детские/подростковые) (VOGUE),,,1,
(подростковые) (металл для девочек),,,10,12
(подростковые) (металл для мальчиков/универс),,,11,20
(подростковые) (пластик для девочек),,,22,20
(подростковые) (пластик для мальчиков/универс),,,26,22
1(0-1490) (МЕТАЛЛ) (Ж),,,7,7
1(0-1490) (МЕТАЛЛ) (М),,,7,7
1(0-1490) (ПЛАСТИК) (Ж),,,7,7
1(0-1490) (ПЛАСТИК) (М),,,7,7
2(1590-3990) (DACKOR) (ж),,,14,14
2(1590-3990) (DACKOR) (металл) (м),,,21,21
2(1590-3990) (DACKOR) (пластик) (м),,,7,7
2(1590-3990) (GENEX) (ж),,,6,7
2(1590-3990) (GENEX) (м),,,12,14
2(1590-3990) (ISABELLE) (пластик) (ж),,,13,14
2(1590-3990) (NIKITANA) (ж),,,14,14
2(1590-3990) (OU) (мет+пл) (ж),,,2,4
2(1590-3990) (SENSE EYEWEAR) (ме) (ж),,,24,24
2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,,,4,4
2(1590-3990) (SENSE EYEWEAR) (ме) (м),,,14,14
2(1590-3990) (SENSE EYEWEAR) (пл) (ж),,,21,21
2(1590-3990) (SENSE EYEWEAR) (пл) (м),,,14,14
2(1590-3990) (SHARMEL) (м),,,14,14
3(4000-5990) (BALLET IMAGE) (ж),,,14,14
3(4000-5990) (GLORY) (металл) (ж),,,14,14
3(4000-5990) (GLORY) (металл) (м),,,7,7
3(4000-5990) (GLORY) (пластик) (ж),,,13,14
3(4000-5990) (GLORY) (пластик) (м),,,5,7
3(4000-5990) (HUMARS) (ж),,,7,7
3(4000-5990) (MEGAPOLIS) (ж),,,10,14
3(4000-5990) (MEREL/ST.LOUISE) (ж),,,2,
3(4000-5990) (OPTILOOK) (металл) (ж),,,6,7
3(4000-5990) (OPTILOOK) (пластик) (ж),,,10,7
3(4000-5990) (OU) (ж),,,18,14
3(4000-5990) (OU) (м),,,12,12
3(4000-5990) (RICO MIRADO) (ж),,,8,7
3(4000-5990) (SENSE EYEWEAR) (ж) хит6,,,4,4
3(4000-5990) (SENSE EYEWEAR) (ж)(ме),,,50,52
