Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),,,3,3,Салон 40 лет Октября,,,
(1590-9990 ) (ОПРАВЫ + CLIP) (М),,,6,6,Салон 40 лет Октября,,,
(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),,,2,3,Салон 40 лет Октября,,,
(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),,,2,2,Салон 40 лет Октября,,,
(детские) (пластик) (36-41),,,1,3,Салон 40 лет Октября,,,
(детские) (пластик) (42-45),,,8,8,Салон 40 лет Октября,,,
(детские) (пластик) (46-49),,,5,5,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) девочки 38-41,,,1,2,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) девочки 42-46,,,7,8,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) девочки 47-54,,,3,3,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) мальчики 38-41,,,3,3,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) мальчики 42-46,,,4,6,Салон 40 лет Октября,,,
(детские)(FISHER PRICE) мальчики 47-54,,,8,8,Салон 40 лет Октября,,,
(детские)(NANOKIDS/LIFE),,,4,5,Салон 40 лет Октября,,,
(детские/подростковые ) (NANO) (52-56),,,1,4,Салон 40 лет Октября,,,
(детские/подростковые) (BARBIE),,,6,10,Салон 40 лет Октября,,,
(детские/подростковые) (BENETTON),,,5,5,Салон 40 лет Октября,,,
(детские/подростковые) (CAROLINA/MINI/CHLOE),,,8,8,Салон 40 лет Октября,,,
(детские/подростковые) (CHOCO),,,7,6,Салон 40 лет Октября,,,
(детские/подростковые) (DOLCE&GABBANA),,,9,8,Салон 40 лет Октября,,,
(детские/подростковые) (ETNIA BARCELONA) ,,,,7,Салон 40 лет Октября,,,
(детские/подростковые) (GUESS),,,11,6,Салон 40 лет Октября,,,
(детские/подростковые) (HOT WHEELS),,,8,8,Салон 40 лет Октября,,,
(детские/подростковые) (KIDSIGHT),,,3,8,Салон 40 лет Октября,,,
(детские/подростковые) (NEW BALANCE),,,1,2,Салон 40 лет Октября,,,
(детские/подростковые) (OU/SCOUT),,,16,14,Салон 40 лет Октября,,,
(детские/подростковые) (PEPE JEANS),,,3,2,Салон 40 лет Октября,,,
(детские/подростковые) (PUMA/LACOSTE/LIU),,,3,4,Салон 40 лет Октября,,,
(детские/подростковые) (RAY-BAN),,,3,4,Салон 40 лет Октября,,,
(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,,,8,7,Салон 40 лет Октября,,,
(детские/подростковые) (SEVENTH STREET),,,2,4,Салон 40 лет Октября,,,
(детские/подростковые) (VERSACE),,,8,8,Салон 40 лет Октября,,,
(детские/подростковые) (VERSO),,,10,5,Салон 40 лет Октября,,,
(подростковые) (металл для девочек),,,7,15,Салон 40 лет Октября,,,
(подростковые) (металл для мальчиков/универс),,,9,12,Салон 40 лет Октября,,,
(подростковые) (пластик для девочек),,,15,15,Салон 40 лет Октября,,,
(подростковые) (пластик для мальчиков/универс),,,28,15,Салон 40 лет Октября,,,
1(0-1490) (МЕТАЛЛ) (Ж),,,3,,Салон 40 лет Октября,,,
1(0-1490) (МЕТАЛЛ) (М),,,1,,Салон 40 лет Октября,,,
1(0-1490) (ПЛАСТИК) (Ж),,,1,,Салон 40 лет Октября,,,
1(0-1490) (ПЛАСТИК) (М),,,1,,Салон 40 лет Октября,,,
2(1590-3990) (DACKOR) (металл) (м),,,6,6,Салон 40 лет Октября,,,
2(1590-3990) (DACKOR) (пластик) (м),,,,,Салон 40 лет Октября,,,
2(1590-3990) (GENEX) (ж),,,4,8,Салон 40 лет Октября,,,
2(1590-3990) (GENEX) (м),,,7,12,Салон 40 лет Октября,,,
2(1590-3990) (ISABELLE) (пластик) (ж),,,8,8,Салон 40 лет Октября,,,
2(1590-3990) (NIKITANA) (ж),,,2,,Салон 40 лет Октября,,,
2(1590-3990) (OU) (мет+пл) (ж),,,1,,Салон 40 лет Октября,,,
2(1590-3990) (SENSE EYEWEAR) (ме) (ж),,,6,6,Салон 40 лет Октября,,,
2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,,,4,2,Салон 40 лет Октября,,,
2(1590-3990) (SENSE EYEWEAR) (ме) (м),,,6,6,Салон 40 лет Октября,,,
2(1590-3990) (SENSE EYEWEAR) (пл) (ж),,,8,8,Салон 40 лет Октября,,,
2(1590-3990) (SENSE EYEWEAR) (пл) (м),,,9,6,Салон 40 лет Октября,,,
3(4000-5990) (BALLET IMAGE) (м),,,12,12,Салон 40 лет Октября,,,
3(4000-5990) (GLORY) (металл) (ж),,,8,8,Салон 40 лет Октября,,,
