ds,yhat,salon,class_style
2025-01-05 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-01-12 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-01-19 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-01-26 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-02-02 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-02-09 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-02-16 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-02-23 14:01:39,1.0,Комарова,прямоугольные_металл_темно-серый
2025-01-05 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-01-12 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-01-19 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-01-26 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-02-02 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-02-09 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-02-16 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2025-02-23 17:34:46,1.0,Комарова,прямоугольные_металл_черный
2024-12-15 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2024-12-22 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2024-12-29 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-01-05 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-01-12 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-01-19 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-01-26 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-02-02 13:10:40,1.0,Комарова,прямоугольные_металл_серый
2025-01-05 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
2025-01-12 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
2025-01-19 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
2025-01-26 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
2025-02-02 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
2025-02-09 15:34:42,1.0,Комарова,прямоугольные_металл_серебристый
