article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
",",POLY,мужские,металл,полуободковая,квадратные,черный/серебристый,54.0,16.0,138.0,,,оптика,квадратные_металл_черный/серебристый,M_L_M,квадратные_металл_черный/серебристый_M_L_M
(NOT) COMMON - 01,GAST,универсальные,пластик,ободковая,прямоугольные,черный,49.0,22.0,145.0,,,оптика,прямоугольные_пластик_черный,L_M_L,прямоугольные_пластик_черный_L_M_L
0001-2,VELA,мужские,металл,ободковая,прямоугольные,,52.0,18.0,140.0,,,оптика,,M_L_L,
0002-2,VELA,мужские,металл,ободковая,прямоугольные,,54.0,19.0,142.0,,,оптика,,M_L_L,
0002-4,VELA,мужские,металл,ободковая,прямоугольные,,54.0,19.0,142.0,,,оптика,,M_L_L,
0002-5,VELA,мужские,металл,ободковая,прямоугольные,,54.0,19.0,142.0,,,оптика,,M_L_L,
0002O-003,CHLOE,подростковые для девочек,пластик,ободковая,панто,,48.0,15.0,130.0,,,оптика,,S_M_S,
0003-2,GAMMA,женские,металл,ободковая,бабочка,,53.0,17.0,142.0,,,оптика,,M_L_M,
0003-3,VELA,мужские,металл,ободковая,прямоугольные,,51.0,18.0,140.0,,,оптика,,M_M_L,
0003-4,VELA,мужские,металл,ободковая,прямоугольные,,51.0,18.0,140.0,,,оптика,,M_M_L,
0003-5,VELA,мужские,металл,ободковая,прямоугольные,,51.0,18.0,140.0,,,оптика,,M_M_L,
0004-1,GAMMA,женские,металл,ободковая,овальные,черный,50.0,20.0,143.0,,,оптика,овальные_металл_черный,M_M_L,овальные_металл_черный_M_M_L
0004-4,GAMMA,женские,металл,ободковая,овальные,серебристый,50.0,20.0,143.0,,,оптика,овальные_металл_серебристый,M_M_L,овальные_металл_серебристый_M_M_L
0005-2,GAMMA,женские,металл,ободковая,гексагон,золотой,53.0,17.0,140.0,,,оптика,гексагон_металл_золотой,M_L_M,гексагон_металл_золотой_M_L_M
0005-3,GAMMA,женские,металл,ободковая,гексагон,золотой,53.0,17.0,140.0,,,оптика,гексагон_металл_золотой,M_L_M,гексагон_металл_золотой_M_L_M
0005-807,ETRO,женские,пластик,ободковая,квадратные,черный,56.0,17.0,145.0,,,оптика,квадратные_пластик_черный,L_L_M,квадратные_пластик_черный_L_L_M
0005-C9B,ETRO,женские,пластик,ободковая,квадратные,гавана,56.0,17.0,145.0,,,оптика,квадратные_пластик_гавана,L_L_M,квадратные_пластик_гавана_L_L_M
0006-086,ETRO,женские,пластик,ободковая,бабочка,черепаховый,55.0,17.0,145.0,,,оптика,бабочка_пластик_черепаховый,L_L_M,бабочка_пластик_черепаховый_L_L_M
0006-1,GAMMA,мужские,металл,ободковая,овальные,золотой,50.0,22.0,142.0,,,оптика,овальные_металл_золотой,M_M_L,овальные_металл_золотой_M_M_L
0006-2,VELA,мужские,металл,ободковая,прямоугольные,,51.0,17.0,138.0,,,оптика,,M_M_M,
0006-3,GAMMA,мужские,металл,ободковая,овальные,черный,50.0,22.0,142.0,,,оптика,овальные_металл_черный,M_M_L,овальные_металл_черный_M_M_L
