class,total_sales,pos_pct,category,style_class,size_class,style_category,size_category
прямоугольные_металл_черный_M_L_M,517,0.00029850746268656717,X,прямоугольные_металл_черный,M_L_M,X,X
прямоугольные_металл_темно-серый_M_L_M,488,0.0005970149253731343,X,прямоугольные_металл_темно-серый,M_L_M,X,X
бабочка_металл_черный/золотой_M_L_M,363,0.0008955223880597015,X,бабочка_металл_черный/золотой,M_L_M,X,X
прямоугольные_пластик_черный_M_L_M,353,0.0011940298507462687,X,прямоугольные_пластик_черный,M_L_M,X,X
прямоугольные_металл_серебристый_M_L_M,348,0.0014925373134328358,X,прямоугольные_металл_серебристый,M_L_M,X,X
прямоугольные_металл_серый_M_L_M,348,0.001791044776119403,X,прямоугольные_металл_серый,M_L_M,X,X
бабочка_металл_золотой_M_L_M,330,0.00208955223880597,X,бабочка_металл_золотой,M_L_M,X,X
бабочка_металл_коричневый/золотой_M_L_M,323,0.0023880597014925373,X,бабочка_металл_коричневый/золотой,M_L_M,X,X
бабочка_пластик_черный_M_L_M,313,0.0026865671641791043,X,бабочка_пластик_черный,M_L_M,X,X
бабочка_металл_многоцветный_M_L_M,285,0.0029850746268656717,X,бабочка_металл_многоцветный,M_L_M,X,X
прямоугольные_пластик_черный_L_L_M,274,0.0032835820895522386,X,прямоугольные_пластик_черный,L_L_M,X,X
кошачий глаз_пластик_многоцветный_M_M_M,257,0.003582089552238806,X,кошачий глаз_пластик_многоцветный,M_M_M,X,X
прямоугольные_металл_коричневый_M_L_M,239,0.003880597014925373,X,прямоугольные_металл_коричневый,M_L_M,X,X
овальные_пластик_многоцветный_M_M_L,225,0.00417910447761194,X,овальные_пластик_многоцветный,M_M_L,X,X
панто_металл_черный_M_M_L,215,0.004477611940298508,X,панто_металл_черный,M_M_L,X,X
прямоугольные_металл_золотой_M_L_M,206,0.004776119402985075,X,прямоугольные_металл_золотой,M_L_M,X,X
прямоугольные_металл_черный_L_L_M,185,0.005074626865671642,X,прямоугольные_металл_черный,L_L_M,X,X
прямоугольные_металл_серый_L_L_M,185,0.005373134328358209,X,прямоугольные_металл_серый,L_L_M,X,X
бабочка_металл_бронзовый_M_L_M,176,0.005671641791044776,X,бабочка_металл_бронзовый,M_L_M,X,X
прямоугольные_металл_серый_M_L_L,163,0.005970149253731343,X,прямоугольные_металл_серый,M_L_L,X,X
бабочка_металл_черный/серебристый_M_L_M,162,0.00626865671641791,X,бабочка_металл_черный/серебристый,M_L_M,X,X
бабочка_металл_розовый_M_M_M,146,0.006567164179104477,X,бабочка_металл_розовый,M_M_M,X,X
панто_металл_золотой_M_M_L,143,0.006865671641791045,X,панто_металл_золотой,M_M_L,X,X
прямоугольные_металл_бронзовый_M_L_M,141,0.007164179104477612,X,прямоугольные_металл_бронзовый,M_L_M,X,X
бабочка_пластик_многоцветный_M_L_M,139,0.007462686567164179,X,бабочка_пластик_многоцветный,M_L_M,X,X
бабочка_металл_коричневый_M_L_M,135,0.007761194029850746,X,бабочка_металл_коричневый,M_L_M,X,X
бабочка_металл_бронзовый_M_M_M,124,0.008059701492537314,X,бабочка_металл_бронзовый,M_M_M,X,X
прямоугольные_металл_черный_L_L_L,123,0.00835820895522388,X,прямоугольные_металл_черный,L_L_L,X,X
необычные_металл_золотой_L_M_L,122,0.008656716417910448,X,необычные_металл_золотой,L_M_L,X,X
прямоугольные_металл_черный_M_L_L,121,0.008955223880597015,X,прямоугольные_металл_черный,M_L_L,X,X
овальные_пластик_многоцветный_M_M_M,119,0.009253731343283582,X,овальные_пластик_многоцветный,M_M_M,X,X
прямоугольные_пластик_многоцветный_M_M_L,118,0.00955223880597015,X,прямоугольные_пластик_многоцветный,M_M_L,X,X
прямоугольные_металл_темно-серый_M_L_L,117,0.009850746268656717,X,прямоугольные_металл_темно-серый,M_L_L,X,X
прямоугольные_металл_серебристый_L_L_L,117,0.010149253731343283,X,прямоугольные_металл_серебристый,L_L_L,X,X
панто_металл_золотой_M_S_L,117,0.010447761194029851,X,панто_металл_золотой,M_S_L,X,x
панто_металл_темно-серый_M_M_L,115,0.010746268656716417,X,панто_металл_темно-серый,M_M_L,X,X
панто_металл_бордовый_M_M_L,114,0.011044776119402985,X,панто_металл_бордовый,M_M_L,X,X
бабочка_металл_розовый_M_L_M,113,0.011343283582089553,X,бабочка_металл_розовый,M_L_M,X,X
панто_металл_черный/золотой_M_M_L,109,0.011641791044776119,X,панто_металл_черный/золотой,M_M_L,X,X
прямоугольные_металл_черный/серебристый_L_L_M,108,0.011940298507462687,X,прямоугольные_металл_черный/серебристый,L_L_M,X,X
кошачий глаз_пластик_черный_M_L_M,107,0.012238805970149255,X,кошачий глаз_пластик_черный,M_L_M,X,X
трапеция_металл_темно-серый_M_L_M,106,0.01253731343283582,X,трапеция_металл_темно-серый,M_L_M,X,X
прямоугольные_пластик_черный_L_L_L,105,0.012835820895522388,X,прямоугольные_пластик_черный,L_L_L,X,X
бабочка_пластик_коричневый_M_L_M,104,0.013134328358208954,X,бабочка_пластик_коричневый,M_L_M,X,X
бабочка_титан_золотой_M_L_M,103,0.013432835820895522,X,бабочка_титан_золотой,M_L_M,X,X
прямоугольные_металл_темно-серый_M_M_M,102,0.01373134328358209,X,прямоугольные_металл_темно-серый,M_M_M,X,X
бабочка_металл_золотой_M_M_M,100,0.014029850746268656,X,бабочка_металл_золотой,M_M_M,X,X
кошачий глаз_металл_многоцветный_M_L_M,100,0.014328358208955224,X,кошачий глаз_металл_многоцветный,M_L_M,X,X
прямоугольные_металл_синий_M_L_M,99,0.014626865671641792,X,прямоугольные_металл_синий,M_L_M,X,X
прямоугольные_металл_темно-серый_L_L_M,99,0.014925373134328358,X,прямоугольные_металл_темно-серый,L_L_M,X,X
прямоугольные_металл_темно-серый_L_L_L,98,0.015223880597014926,X,прямоугольные_металл_темно-серый,L_L_L,X,X
панто_пластик_черный_M_M_L,95,0.015522388059701492,X,панто_пластик_черный,M_M_L,X,X
прямоугольные_металл_серый_L_L_L,95,0.01582089552238806,X,прямоугольные_металл_серый,L_L_L,X,X
прямоугольные_металл_черный/серебристый_M_L_M,94,0.016119402985074627,X,прямоугольные_металл_черный/серебристый,M_L_M,X,X
прямоугольные_пластик_черный_M_M_M,94,0.016417910447761194,X,прямоугольные_пластик_черный,M_M_M,X,X
трапеция_металл_черный_L_L_L,93,0.01671641791044776,X,трапеция_металл_черный,L_L_L,X,X
квадратные_металл_серый_L_L_L,92,0.01701492537313433,X,квадратные_металл_серый,L_L_L,X,X
прямоугольные_металл_коричневый_M_L_L,92,0.017313432835820895,X,прямоугольные_металл_коричневый,M_L_L,X,X
прямоугольные_металл_розовый_M_L_M,92,0.01761194029850746,X,прямоугольные_металл_розовый,M_L_M,X,X
прямоугольные_металл_черный/серый_L_L_M,90,0.01791044776119403,X,прямоугольные_металл_черный/серый,L_L_M,X,X
необычные_металл_золотой_L_L_L,88,0.018208955223880597,X,необычные_металл_золотой,L_L_L,X,X
панто_металл_розовый_M_M_L,88,0.018507462686567163,X,панто_металл_розовый,M_M_L,X,X
бабочка_пластик_черный_L_L_M,86,0.018805970149253733,X,бабочка_пластик_черный,L_L_M,X,X
бабочка_металл_бежевый_M_L_M,85,0.0191044776119403,X,бабочка_металл_бежевый,M_L_M,X,X
квадратные_пластик_черный_L_L_L,83,0.019402985074626865,X,квадратные_пластик_черный,L_L_L,X,X
бабочка_пластик_многоцветный_M_L_S,83,0.019701492537313434,X,бабочка_пластик_многоцветный,M_L_S,X,X
прямоугольные_пластик_многоцветный_M_M_M,81,0.02,X,прямоугольные_пластик_многоцветный,M_M_M,X,X
квадратные_металл_черный_L_L_L,81,0.020298507462686566,X,квадратные_металл_черный,L_L_L,X,X
круглые_металл_черный/золотой_M_M_L,80,0.020597014925373136,X,круглые_металл_черный/золотой,M_M_L,X,X
трапеция_пластик_черный_L_L_M,78,0.020895522388059702,X,трапеция_пластик_черный,L_L_M,X,X
бабочка_титан_бронзовый_M_L_M,76,0.021194029850746268,X,бабочка_титан_бронзовый,M_L_M,X,X
прямоугольные_металл_серый_M_M_M,76,0.021492537313432834,X,прямоугольные_металл_серый,M_M_M,X,X
бабочка_металл_бордовый_M_L_M,75,0.021791044776119404,X,бабочка_металл_бордовый,M_L_M,X,X
прямоугольные_металл_серый_M_M_L,75,0.02208955223880597,X,прямоугольные_металл_серый,M_M_L,X,X
панто_металл_бронзовый_M_M_L,75,0.022388059701492536,X,панто_металл_бронзовый,M_M_L,X,X
панто_пластик_черный_L_M_L,74,0.022686567164179106,X,панто_пластик_черный,L_M_L,X,X
панто_металл_синий/золотой_M_M_L,73,0.02298507462686567,X,панто_металл_синий/золотой,M_M_L,X,X
прямоугольные_металл_черный_M_M_M,73,0.023283582089552238,X,прямоугольные_металл_черный,M_M_M,X,X
панто_металл_серебристый_M_S_L,72,0.023582089552238807,X,панто_металл_серебристый,M_S_L,X,x
бабочка_пластик_многоцветный_M_M_M,72,0.023880597014925373,X,бабочка_пластик_многоцветный,M_M_M,X,X
бабочка_пластик_черный_M_L_S,72,0.02417910447761194,X,бабочка_пластик_черный,M_L_S,X,X
прямоугольные_металл_золотой_L_L_L,71,0.02447761194029851,X,прямоугольные_металл_золотой,L_L_L,X,X
бабочка_металл_фиолетовый_M_L_M,71,0.024776119402985075,X,бабочка_металл_фиолетовый,M_L_M,X,X
трапеция_пластик_черный_L_L_L,71,0.02507462686567164,X,трапеция_пластик_черный,L_L_L,X,X
панто_металл_серый_M_M_L,70,0.025373134328358207,X,панто_металл_серый,M_M_L,X,X
прямоугольные_металл_синий_M_M_M,70,0.025671641791044777,X,прямоугольные_металл_синий,M_M_M,X,X
трапеция_металл_черный_L_L_M,69,0.025970149253731343,X,трапеция_металл_черный,L_L_M,X,X
кошачий глаз_пластик_коричневый_M_L_M,67,0.02626865671641791,X,кошачий глаз_пластик_коричневый,M_L_M,X,X
трапеция_металл_черный_M_L_M,66,0.02656716417910448,X,трапеция_металл_черный,M_L_M,X,X
бабочка_металл_синий/золотой_M_L_M,66,0.026865671641791045,X,бабочка_металл_синий/золотой,M_L_M,X,X
панто_металл_золотой_L_M_L,65,0.02716417910447761,X,панто_металл_золотой,L_M_L,X,X
трапеция_металл_синий_M_L_M,65,0.02746268656716418,X,трапеция_металл_синий,M_L_M,X,X
прямоугольные_пластик_прозрачный_M_M_L,65,0.027761194029850746,X,прямоугольные_пластик_прозрачный,M_M_L,X,X
панто_металл_серебристый_M_M_L,65,0.028059701492537312,X,панто_металл_серебристый,M_M_L,X,X
прямоугольные_пластик_синий_M_L_M,64,0.028358208955223882,X,прямоугольные_пластик_синий,M_L_M,X,X
трапеция_металл_серый_L_L_M,64,0.028656716417910448,X,трапеция_металл_серый,L_L_M,X,X
бабочка_металл_коричневый_M_M_M,64,0.028955223880597014,X,бабочка_металл_коричневый,M_M_M,X,X
прямоугольные_металл_коричневый_L_L_M,63,0.029253731343283584,X,прямоугольные_металл_коричневый,L_L_M,X,X
бабочка_пластик_синий_M_L_M,63,0.02955223880597015,X,бабочка_пластик_синий,M_L_M,X,X
