class,total_sales,pos_pct,category
M_L_M,10654,0.037037037037037035,X
M_M_L,5209,0.07407407407407407,X
M_M_M,3709,0.1111111111111111,X
L_L_M,3365,0.14814814814814814,X
L_L_L,2936,0.18518518518518517,X
M_L_L,2931,0.2222222222222222,X
L_M_L,2142,0.25925925925925924,X
M_L_S,1404,0.2962962962962963,X
S_M_M,736,0.3333333333333333,X
M_S_L,668,0.37037037037037035,x
S_S_S,653,0.4074074074074074,x
S_S_M,608,0.4444444444444444,x
S_M_S,453,0.48148148148148145,x
L_L_S,344,0.5185185185185185,Y
L_S_L,328,0.5555555555555556,Y
S_M_L,303,0.5925925925925926,Y
M_M_S,303,0.6296296296296297,Y
L_M_M,289,0.6666666666666666,Y
S_S_L,223,0.7037037037037037,y
L_S_M,136,0.7407407407407407,y
M_S_M,68,0.7777777777777778,y
S_L_M,40,0.8148148148148148,y
S_L_L,33,0.8518518518518519,Z
L_M_S,19,0.8888888888888888,Z
L_S_S,17,0.9259259259259259,Z
S_L_S,11,0.9629629629629629,z
M_S_S,5,1.0,z
