Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3,3,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,1(0-1490) (МЕТАЛЛ) (Ж),3,0,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,РАСПРОДАЖА (Ж) (10 000 - ...),1,0,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,1(0-1490) (ПЛАСТИК) (Ж),1,0,бабочка_пластик_черный_M_L_M,4,8,"8, 0, 0",X,Заказать
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,3,бабочка_титан_золотой_M_L_M,2,24,"21, 2, 1",X,Заказать
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2,2,бабочка_титан_золотой_M_L_M,2,24,"21, 2, 1",X,Заказать
40 лет Октября,(детские) (пластик) (36-41),1,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские) (пластик) (42-45),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские) (пластик) (46-49),5,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 38-41,1,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 42-46,7,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) девочки 47-54,3,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 38-41,3,3,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 42-46,4,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(FISHER PRICE) мальчики 47-54,8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские)(NANOKIDS/LIFE),4,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые ) (NANO) (52-56),1,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (BARBIE),6,10,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (BENETTON),5,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (CAROLINA/MINI/CHLOE),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (CHOCO),7,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (DOLCE&GABBANA),9,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (GUESS),11,6,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (HOT WHEELS),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (KIDSIGHT),3,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (NEW BALANCE),1,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (OU/SCOUT),16,14,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (PEPE JEANS),3,2,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (PUMA/LACOSTE/LIU),3,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (RAY-BAN),3,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,8,7,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (SEVENTH STREET),2,4,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (VERSACE),8,8,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(детские/подростковые) (VERSO),10,5,овальные_пластик_синий_S_S_S,5,8,"0, 8, 0",X,Заказать
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (М),6,6,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,(подростковые) (металл для девочек),7,15,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,(подростковые) (металл для мальчиков/универс),9,12,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,1(0-1490) (МЕТАЛЛ) (М),1,0,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,2(1590-3990) (DACKOR) (металл) (м),6,6,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,3(4000-5990) (GLORY) (металл) (ж),8,8,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,3(4000-5990) (GLORY) (металл) (м),5,5,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,3(4000-5990) (OPTILOOK) (металл) (ж),7,8,прямоугольные_металл_темно-серый_M_L_M,12,20,"9, 11, 0",X,Заказать
40 лет Октября,2(1590-3990) (GENEX) (ж),4,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (GENEX) (м),7,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (NIKITANA) (ж),2,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (OU) (мет+пл) (ж),1,0,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),6,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4,2,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (ме) (м),6,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),8,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,2(1590-3990) (SENSE EYEWEAR) (пл) (м),9,6,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (BALLET IMAGE) (м),12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (HUMARS) (ж),7,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (HUMARS) (м),9,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (MEGAPOLIS) (ж),4,8,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (OU) (ж),15,16,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (OU) (м),12,12,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
40 лет Октября,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,2,2,прямоугольные_металл_черный_M_L_M,6,14,"3, 8, 3",X,Заказать
