Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Комарова,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,2,бабочка_металл и пластик_черный/желтый_M_L_M,0,0,"0, 0, 0",x,Нет данных
Комарова,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,2,бабочка_металл и пластик_черный/желтый_M_L_M,0,0,"0, 0, 0",x,Нет данных
Комарова,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2,2,бабочка_металл и пластик_черный/желтый_M_L_M,0,0,"0, 0, 0",x,Нет данных
Комарова,1(0-1490) (МЕТАЛЛ) (Ж),12,12,бабочка_металл_бронзовый_M_L_M,35,18,"4, 7, 7",X,Убрать / Перераспределить
Комарова,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3,3,бабочка_металл_бронзовый_M_L_M,35,18,"4, 7, 7",X,Убрать / Перераспределить
Комарова,1(0-1490) (МЕТАЛЛ) (Ж),7,7,бабочка_металл_бронзовый_M_L_M,35,18,"4, 7, 7",X,Убрать / Перераспределить
Васенко,1(0-1490) (МЕТАЛЛ) (Ж),12,12,бабочка_металл_золотой_M_L_M,17,14,"3, 2, 9",X,Убрать / Перераспределить
Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3,3,бабочка_металл_золотой_M_L_M,17,14,"3, 2, 9",X,Убрать / Перераспределить
Васенко,1(0-1490) (МЕТАЛЛ) (Ж),7,7,бабочка_металл_золотой_M_L_M,17,14,"3, 2, 9",X,Убрать / Перераспределить
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),3,3,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,1(0-1490) (МЕТАЛЛ) (Ж),3,0,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,РАСПРОДАЖА (Ж) (10 000 - ...),1,0,бабочка_металл_черный/золотой_M_L_M,10,18,"3, 11, 4",X,Заказать
40 лет Октября,1(0-1490) (ПЛАСТИК) (Ж),1,0,бабочка_пластик_черный_M_L_M,4,8,"8, 0, 0",X,Заказать
Васенко,1(0-1490) (ПЛАСТИК) (Ж),10,10,бабочка_пластик_черный_M_L_M,14,24,"4, 2, 18",X,Заказать
Васенко,1(0-1490) (ПЛАСТИК) (Ж),7,7,бабочка_пластик_черный_M_L_M,14,24,"4, 2, 18",X,Заказать
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,3,бабочка_титан_золотой_M_L_M,2,24,"21, 2, 1",X,Заказать
40 лет Октября,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2,2,бабочка_титан_золотой_M_L_M,2,24,"21, 2, 1",X,Заказать
Васенко,(подростковые) (пластик для девочек),13,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,(подростковые) (пластик для мальчиков/универс),23,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,1(0-1490) (ПЛАСТИК) (М),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (ж),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (пластик) (м),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (GENEX) (ж),10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (GENEX) (м),10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (ISABELLE) (пластик) (ж),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (NIKITANA) (ж),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),29,30,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4,4,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (м),34,34,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (м),18,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (пластик) (ж),10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (пластик) (м),11,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (HUMARS) (м),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (MEGAPOLIS) (ж),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (OPTILOOK) (пластик) (ж),10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (OU) (ж),16,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (OU) (м),2,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (RICO MIRADO) (ж),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (ж) хит6,1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(ме),23,24,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (м),47,47,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4,4,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (ELFSPIRIT) (ж),5,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (ELFSPIRIT) (м),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (ENNI MARCO) (м),1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (MEGAPOLIS) (м),3,4,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (OU) (ж),5,5,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SEEBLING титановые) (ж) ,10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (SEEBLING титановые) (м) ,10,10,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,4(6000-9990) (WILLIAM MORRIS) (ж),12,12,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (STEPPER) (ж),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (STEPPER) (м),17,17,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,(подростковые) (пластик для девочек),22,20,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,(подростковые) (пластик для мальчиков/универс),26,22,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,1(0-1490) (ПЛАСТИК) (М),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (ж),14,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (пластик) (м),7,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (GENEX) (ж),6,7,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (GENEX) (м),12,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (ISABELLE) (пластик) (ж),13,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (NIKITANA) (ж),14,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (OU) (мет+пл) (ж),2,4,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж),24,24,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (ж) хит5,4,4,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (ме) (м),14,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (ж),21,21,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,2(1590-3990) (SENSE EYEWEAR) (пл) (м),14,14,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
