Магазин,Наименование группы,Месяц/год,month_dt,Продажа/прогноз,Тип,Полный класс (доминирующий)
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-03,2024-03-01 00:00:00,360,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-04,2024-04-01 00:00:00,415,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-05,2024-05-01 00:00:00,349,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-06,2024-06-01 00:00:00,333,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-07,2024-07-01 00:00:00,386,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-08,2024-08-01 00:00:00,408,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-09,2024-09-01 00:00:00,350,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-10,2024-10-01 00:00:00,361,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-11,2024-11-01 00:00:00,361,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2024-12,2024-12-01 00:00:00,344,факт,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-01,2025-01-31 14:45:54,363,прогноз,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-02,2025-02-28 14:45:54,364,прогноз,бабочка_металл_черный/золотой_M_L_M
40 лет Октября,(1590-9990 ) (ОПРАВЫ + CLIP) (Ж),2025-03,2025-03-31 14:45:54,365,прогноз,бабочка_металл_черный/золотой_M_L_M
