article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
(NOT) COMMON - 06,GAST,универсальные,пластик,ободковая,прямоугольные,бежевый,49.0,22.0,145.0,,,солнцезащитные,прямоугольные_пластик_бежевый,L_M_L,прямоугольные_пластик_бежевый_L_M_L
(NOT) COMMON - 07,GAST,универсальные,пластик,ободковая,прямоугольные,черный/золотой,49.0,22.0,145.0,,,солнцезащитные,прямоугольные_пластик_черный/золотой,L_M_L,прямоугольные_пластик_черный/золотой_L_M_L
0001/N/S-SZJIR,ISABEL MARANT,женские,пластик,ободковая,капли,,57.0,18.0,150.0,,,солнцезащитные,,L_L_L,
0001/S-8079O,ISABEL MARANT,универсальные,пластик,ободковая,капли,,57.0,18.0,150.0,,,солнцезащитные,,L_L_L,
0001/S-FWM3X,ISABEL MARANT,женские,пластик,ободковая,капли,,57.0,18.0,150.0,,,солнцезащитные,,L_L_L,
0002/S-8079O,ETRO,женские,пластик,ободковая,квадратные,черный,60.0,18.0,145.0,,,солнцезащитные,квадратные_пластик_черный,L_L_L,квадратные_пластик_черный_L_L_L
0008S-002,CHLOE,женские,пластик,ободковая,гексагон,,58.0,17.0,140.0,,,солнцезащитные,,M_L_M,
001-PNK,BARBIE,подростковые для девочек,пластик,ободковая,вайфайеры,розовый,46.0,18.0,124.0,,,солнцезащитные,вайфайеры_пластик_розовый,S_S_L,вайфайеры_пластик_розовый_S_S_L
001-VLT,BARBIE,подростковые для девочек,пластик,ободковая,вайфайеры,фиолетовый,46.0,18.0,124.0,,,солнцезащитные,вайфайеры_пластик_фиолетовый,S_S_L,вайфайеры_пластик_фиолетовый_S_S_L
0010/S-71CHA,ETRO,женские,пластик,ободковая,бабочка,черный,50.0,24.0,145.0,,,солнцезащитные,бабочка_пластик_черный,L_M_L,бабочка_пластик_черный_L_M_L
0010/S-8079O,ETRO,женские,пластик,ободковая,бабочка,черный,50.0,24.0,145.0,,,солнцезащитные,бабочка_пластик_черный,L_M_L,бабочка_пластик_черный_L_M_L
0014/S-000IB,ISABEL MARANT,женские,металл,ободковая,квадратные,золотой,58.0,19.0,145.0,,,солнцезащитные,квадратные_металл_золотой,L_L_L,квадратные_металл_золотой_L_L_L
0019S-002,AZZEDINE ALAIA,женские,пластик,ободковая,кошачий глаз,белый,51.0,17.0,145.0,,,солнцезащитные,кошачий глаз_пластик_белый,L_M_M,кошачий глаз_пластик_белый_L_M_M
0019S-003,AZZEDINE ALAIA,женские,пластик,ободковая,кошачий глаз,красный,51.0,17.0,145.0,,,солнцезащитные,кошачий глаз_пластик_красный,L_M_M,кошачий глаз_пластик_красный_L_M_M
002-BLK,HOT WHEELS,подростковые для мальчиков,пластик,ободковая,квадратные,черный,49.0,14.0,118.0,,,солнцезащитные,квадратные_пластик_черный,S_M_S,квадратные_пластик_черный_S_M_S
002-PNK,BARBIE,подростковые для девочек,пластик,ободковая,кошачий глаз,розовый,46.0,15.0,129.0,,,солнцезащитные,кошачий глаз_пластик_розовый,S_S_S,кошачий глаз_пластик_розовый_S_S_S
0021/S-000UY,ETRO,женские,металл,ободковая,бабочка,золотой,60.0,17.0,145.0,,,солнцезащитные,бабочка_металл_золотой,L_L_M,бабочка_металл_золотой_L_L_M
0027S-001,AZZEDINE ALAIA,женские,металл,безободковая,кошачий глаз,черный,99.0,1.0,140.0,,,солнцезащитные,кошачий глаз_металл_черный,M_L_S,кошачий глаз_металл_черный_M_L_S
0030S-001,AZZEDINE ALAIA,женские,пластик,ободковая,кошачий глаз,черный,51.0,23.0,145.0,,,солнцезащитные,кошачий глаз_пластик_черный,L_M_L,кошачий глаз_пластик_черный_L_M_L
0031RS-002,CARTIER,универсальные,металл,безободковая,овальные,,60.0,17.0,140.0,,,солнцезащитные,,M_L_M,
0031S-001,CHLOE,женские,металл и пластик,ободковая,квадратные,,59.0,19.0,140.0,,,солнцезащитные,,M_L_L,
0031S-003,CHLOE,женские,металл и пластик,ободковая,квадратные,,59.0,19.0,140.0,,,солнцезащитные,,M_L_L,
0032S-001,AZZEDINE ALAIA,женские,металл,безободковая,панто,черный,61.0,16.0,140.0,,,солнцезащитные,панто_металл_черный,M_L_M,панто_металл_черный_M_L_M
0036-6,VITO FABIUS,подростковые для девочек,пластик,ободковая,бабочка,розовый,45.0,20.0,134.0,,,солнцезащитные,бабочка_пластик_розовый,S_S_L,бабочка_пластик_розовый_S_S_L
0047-3,VITO FABIUS,подростковые для девочек,пластик,ободковая,гексагон,синий,48.0,16.0,134.0,,,солнцезащитные,гексагон_пластик_синий,S_M_M,гексагон_пластик_синий_S_M_M
005-09YL,PHILIPP PLEIN,универсальные,пластик,ободковая,квадратные,белый,57.0,18.0,145.0,,,солнцезащитные,квадратные_пластик_белый,L_L_L,квадратные_пластик_белый_L_L_L
005-300,ROBERTO CAVALLI,женские,металл,безободковая,необычные,золотой,59.0,19.0,140.0,,,солнцезащитные,необычные_металл_золотой,M_L_L,необычные_металл_золотой_M_L_L
005-400F,ROBERTO CAVALLI,женские,металл,безободковая,необычные,золотой,59.0,19.0,140.0,,,солнцезащитные,необычные_металл_золотой,M_L_L,необычные_металл_золотой_M_L_L
005-579X,ROBERTO CAVALLI,женские,металл,безободковая,необычные,серебристый,59.0,19.0,140.0,,,солнцезащитные,необычные_металл_серебристый,M_L_L,необычные_металл_серебристый_M_L_L
005-594G,ROBERTO CAVALLI,женские,металл,безободковая,необычные,бронзовый,59.0,19.0,140.0,,,солнцезащитные,необычные_металл_бронзовый,M_L_L,необычные_металл_бронзовый_M_L_L
005-BLK,HOT WHEELS,подростковые универсальные,пластик,ободковая,вайфайеры,черный,53.0,18.0,127.0,,,солнцезащитные,вайфайеры_пластик_черный,S_L_L,вайфайеры_пластик_черный_S_L_L
0051/S-1ED9K,ISABEL MARANT,женские,пластик,ободковая,круглые,,51.0,24.0,150.0,,,солнцезащитные,,L_M_L,
006-0300,ROBERTO CAVALLI,женские,металл,безободковая,круглые,золотой,63.0,17.0,140.0,,,солнцезащитные,круглые_металл_золотой,M_L_M,круглые_металл_золотой_M_L_M
006-0700,PHILIPP PLEIN,универсальные,пластик,ободковая,маска,черный,98.0,,,,,солнцезащитные,маска_пластик_черный,L_L_L,маска_пластик_черный_L_L_L
006-594B,ROBERTO CAVALLI,женские,металл,безободковая,круглые,серебристый,63.0,17.0,140.0,,,солнцезащитные,круглые_металл_серебристый,M_L_M,круглые_металл_серебристый_M_L_M
007-0302,PHILIPP PLEIN,универсальные,металл,ободковая,капли,золотой,64.0,12.0,145.0,,,солнцезащитные,капли_металл_золотой,L_L_S,капли_металл_золотой_L_L_S
007-528L,PHILIPP PLEIN,универсальные,металл,ободковая,капли,серебристый,64.0,12.0,145.0,,,солнцезащитные,капли_металл_серебристый,L_L_S,капли_металл_серебристый_L_L_S
007-ACQ,BARBIE,подростковые для девочек,пластик,ободковая,панто,оливковый,51.0,14.0,128.0,,,солнцезащитные,панто_пластик_оливковый,S_M_S,панто_пластик_оливковый_S_M_S
007-BLK,HOT WHEELS,подростковые для мальчиков,пластик,ободковая,прямоугольные,черный,55.0,18.0,125.0,,,солнцезащитные,прямоугольные_пластик_черный,S_L_L,прямоугольные_пластик_черный_S_L_L
007-FXA,BARBIE,подростковые для девочек,пластик,ободковая,панто,малиновый,51.0,14.0,128.0,,,солнцезащитные,панто_пластик_малиновый,S_M_S,панто_пластик_малиновый_S_M_S
