class,total_sales,pos_pct,category,style_class,size_class,style_category,size_category
квадратные_пластик_черный_L_L_L,95,0.0011792452830188679,X,квадратные_пластик_черный,L_L_L,X,X
бабочка_пластик_черный_L_L_L,89,0.0023584905660377358,X,бабочка_пластик_черный,L_L_L,X,X
прямоугольные_пластик_черный_L_L_L,68,0.003537735849056604,X,прямоугольные_пластик_черный,L_L_L,X,X
вайфайеры_пластик_черный_L_L_L,38,0.0047169811320754715,X,вайфайеры_пластик_черный,L_L_L,X,X
панто_металл_золотой_L_L_L,36,0.00589622641509434,X,панто_металл_золотой,L_L_L,X,X
спортивные_пластик_черный_L_L_L,34,0.007075471698113208,X,спортивные_пластик_черный,L_L_L,X,X
квадратные_пластик_черный_L_L_M,33,0.008254716981132075,X,квадратные_пластик_черный,L_L_M,X,X
панто_пластик_черный_L_L_L,26,0.009433962264150943,X,панто_пластик_черный,L_L_L,X,X
кошачий глаз_пластик_черный_L_L_L,24,0.01061320754716981,X,кошачий глаз_пластик_черный,L_L_L,X,X
бабочка_пластик_черный_L_L_M,24,0.01179245283018868,X,бабочка_пластик_черный,L_L_M,X,X
прямоугольные_пластик_черный_L_L_M,24,0.012971698113207548,X,прямоугольные_пластик_черный,L_L_M,X,X
трапеция_пластик_черный_L_L_L,23,0.014150943396226415,X,трапеция_пластик_черный,L_L_L,X,X
квадратные_пластик_черный_M_L_L,22,0.015330188679245283,X,квадратные_пластик_черный,M_L_L,X,X
прямоугольные_пластик_черный_M_L_L,22,0.01650943396226415,X,прямоугольные_пластик_черный,M_L_L,X,X
прямоугольные_металл_золотой_L_L_L,21,0.01768867924528302,X,прямоугольные_металл_золотой,L_L_L,X,X
квадратные_металл_золотой_L_L_M,19,0.018867924528301886,X,квадратные_металл_золотой,L_L_M,X,X
панто_металл_серебристый_L_L_L,19,0.020047169811320754,X,панто_металл_серебристый,L_L_L,X,X
прямоугольные_металл_темно-серый_L_L_L,18,0.02122641509433962,X,прямоугольные_металл_темно-серый,L_L_L,X,X
бабочка_металл_золотой_M_L_M,18,0.02240566037735849,X,бабочка_металл_золотой,M_L_M,X,X
бабочка_пластик_черный_M_L_L,18,0.02358490566037736,X,бабочка_пластик_черный,M_L_L,X,X
