class,total_sales,pos_pct,category
L_L_L,1603,0.043478260869565216,X
M_L_L,462,0.08695652173913043,X
M_L_M,412,0.13043478260869565,X
L_L_M,328,0.17391304347826086,X
M_L_S,211,0.21739130434782608,X
L_M_L,201,0.2608695652173913,X
L_L_S,188,0.30434782608695654,X
M_M_L,100,0.34782608695652173,X
S_L_S,53,0.391304347826087,x
S_L_L,41,0.43478260869565216,x
S_S_L,18,0.4782608695652174,x
L_S_L,16,0.5217391304347826,Y
M_S_L,16,0.5652173913043478,Y
S_S_S,15,0.6086956521739131,Y
S_S_M,13,0.6521739130434783,Y
S_L_M,10,0.6956521739130435,Y
S_M_S,7,0.7391304347826086,y
S_M_M,6,0.782608695652174,y
L_M_S,6,0.8260869565217391,y
L_S_M,4,0.8695652173913043,Z
L_M_M,2,0.9130434782608695,Z
S_M_L,2,0.9565217391304348,z
M_M_S,1,1.0,z
